priority,ipa,word,concept,representationType,homophoneGroup,productivity,assetExists,assetStatus,needsProduction,source
P2,livʁ,livre,livre,IMAGE,lb | livre,0,true,ASSET_INDIVIDUEL_CANONIQUE,false,data/rebus-productive-bank-wave4.json
P2,ljɔ̃,lion,lion,IMAGE,lion | lions,0,false,NO_PROVEN_ASSET,true,data/rebus-productive-bank-wave4.json
P2,lyn,lune,lune,IMAGE,lune,0,false,NO_PROVEN_ASSET,true,data/rebus-productive-bank-wave4.json
P2,lynɛt,lunettes,lunettes,IMAGE,lunettes,0,false,NO_PROVEN_ASSET,true,data/rebus-fragment-representation-ideas.json
P2,ma,mas,mas,IMAGE,ma | mas | mât,0,false,NO_PROVEN_ASSET,true,data/rebus-productive-bank-wave5.json
P2,ma,mât,mât,IMAGE,ma | mas | mât,0,true,LEGACY_RUNTIME_ASSET,false,data/rebus-productive-bank-wave5.json
P2,maʁto,marteau,marteau,IMAGE,marteau,0,false,NO_PROVEN_ASSET,true,data/rebus-fragment-representation-ideas.json
P2,mɑ̃to,manteau,manteau,IMAGE,manteau | mentaux,0,false,DESSIN_RÉELLEMENT_MANQUANT,true,data/rebus-productive-bank-wave4.json
P2,metʁo,métro,métro,IMAGE,métro,0,false,NO_PROVEN_ASSET,true,data/rebus-productive-bank-wave4.json
P2,mɛ̃,main,main,IMAGE,main,0,false,NO_PROVEN_ASSET,true,data/rebus-fragment-representation-ideas.json
P2,mɛʁ,mer,mer,IMAGE,mer | mère,0,true,EXISTE_NON_VALIDÉ,false,data/rebus-fragment-representation-ideas.json
P2,mɛʁ,mère,mère,IMAGE,mer | mère,0,false,NO_PROVEN_ASSET,true,data/rebus-fragment-representation-ideas.json
P2,mɛzɔ̃,maison,maison,IMAGE,maison,0,false,NO_PROVEN_ASSET,true,data/rebus-fragment-representation-ideas.json
P2,mi,mie,mie,IMAGE,mie,0,true,LEGACY_RUNTIME_ASSET,false,data/rebus-fragment-representation-ideas.json
P2,mjɛl,miel,miel,IMAGE,miel,0,false,NO_PROVEN_ASSET,true,data/rebus-productive-bank-wave4.json
P2,moto,moto,moto,IMAGE,moto,0,false,NO_PROVEN_ASSET,true,data/rebus-fragment-representation-ideas.json
P2,mɔ̃taɲ,montagne,montagne,IMAGE,montagne,0,false,NO_PROVEN_ASSET,true,data/rebus-productive-bank-wave4.json
P2,mɔ̃tʁ,montre,montre,IMAGE,montre,0,false,NO_PROVEN_ASSET,true,data/rebus-productive-bank-wave4.json
P2,muʃ,mouche,mouche,IMAGE,mouche,0,false,NO_PROVEN_ASSET,true,data/rebus-productive-bank-wave4.json
P2,mutɔ̃,mouton,mouton,IMAGE,mouton,0,false,NO_PROVEN_ASSET,true,data/rebus-fragment-representation-ideas.json
P2,ne,nez,nez,IMAGE,nez,0,true,LEGACY_RUNTIME_ASSET,false,data/rebus-fragment-representation-ideas.json
P2,nɛʒ,neige,neige,IMAGE,neige,0,false,NO_PROVEN_ASSET,true,data/rebus-productive-bank-wave4.json
P2,nø,noeud,noeud,IMAGE,noeud,0,false,NO_PROVEN_ASSET,true,data/rebus-productive-bank-wave4.json
P2,nɥaʒ,nuage,nuage,IMAGE,nuage,0,false,NO_PROVEN_ASSET,true,data/rebus-productive-bank-wave4.json
P2,o,eau,eau,IMAGE,eau,0,true,LEGACY_RUNTIME_ASSET,false,data/rebus-fragment-representation-ideas.json
P2,œf,oeuf,oeuf,IMAGE,oeuf,0,false,NO_PROVEN_ASSET,true,data/rebus-productive-bank-wave4.json
P2,œj,oeil,oeil,IMAGE,oeil,0,false,NO_PROVEN_ASSET,true,data/rebus-productive-bank-wave4.json
P2,oliv,olive,olive,IMAGE,olive,0,false,DESSIN_RÉELLEMENT_MANQUANT,true,data/rebus-productive-bank-wave4.json
P2,otɛl,hôtel,hôtel,IMAGE,autel | hôtel,0,false,NO_PROVEN_ASSET,true,data/rebus-productive-bank-wave4.json
P2,ɔɲɔ̃,oignon,oignon,IMAGE,ognon | oignon | oignons,0,false,NO_PROVEN_ASSET,true,data/rebus-productive-bank-wave5.json
P2,pa,pas,pas,IMAGE,pas,0,true,LEGACY_RUNTIME_ASSET,false,data/rebus-fragment-representation-ideas.json
P2,panje,panier,panier,IMAGE,panier,0,false,NO_PROVEN_ASSET,true,data/rebus-productive-bank-wave4.json
